Time,air1,clotheswasher1,dishwasher1,furnace1,refrigerator1,Sum of Power,temperature
2018-01-01 06:00:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 06:15:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 06:30:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 06:45:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 07:00:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 07:15:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 07:30:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 07:45:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 08:00:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 08:15:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 08:30:00,0.002,0.0,0.0,0.0,0.0,0.002,
2018-01-01 08:45:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 09:00:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 09:15:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 09:30:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 09:45:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 10:00:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 10:15:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 10:30:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 10:45:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 11:00:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 11:15:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 11:30:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 11:45:00,0.002,0.0,0.0,0.0,0.0,0.002,
2018-01-01 12:00:00,0.002,0.0,0.0,0.0,0.0,0.002,
2018-01-01 12:15:00,0.001,0.0,0.0,0.0,0.0,0.001,
2018-01-01 12:30:00,0.002,0.0,0.0,0.0,0.0,0.002,
2018-01-01 12:45:00,0.002,0.0,0.0,0.0,0.0,0.002,
2018-01-01 13:00:00,0.001,0.0,0.0,0.0,0.0,0.001,28.19
2018-01-01 13:15:00,0.001,0.0,0.0,0.0,0.0,0.001,28.19
2018-01-01 13:30:00,0.001,0.0,0.0,0.0,0.0,0.001,28.19
2018-01-01 13:45:00,0.001,0.0,0.0,0.0,0.0,0.001,28.19
2018-01-01 14:00:00,0.001,0.0,0.0,0.0,0.0,0.001,29.01
2018-01-01 14:15:00,0.001,0.0,0.0,0.0,0.0,0.001,29.01
2018-01-01 14:30:00,0.001,0.0,0.0,0.0,0.0,0.001,29.01
2018-01-01 14:45:00,0.001,0.0,0.0,0.0,0.0,0.001,29.01
2018-01-01 15:00:00,0.002,0.0,0.0,0.0,0.0,0.002,29.35
2018-01-01 15:15:00,0.002,0.0,0.0,0.0,0.0,0.002,29.35
2018-01-01 15:30:00,0.002,0.0,0.0,0.0,0.0,0.002,29.35
2018-01-01 15:45:00,0.001,0.0,0.0,0.0,0.0,0.001,29.35
2018-01-01 16:00:00,0.002,0.0,0.0,0.0,0.0,0.002,29.93
2018-01-01 16:15:00,0.002,0.0,0.0,0.0,0.0,0.002,29.93
2018-01-01 16:30:00,0.002,0.0,0.0,0.0,0.0,0.002,29.93
2018-01-01 16:45:00,0.002,0.0,0.0,0.0,0.0,0.002,29.93
2018-01-01 17:00:00,0.002,0.0,0.0,0.0,0.0,0.002,29.79
2018-01-01 17:15:00,0.003,0.0,0.0,0.0,0.0,0.003,29.79
2018-01-01 17:30:00,0.002,0.0,0.0,0.0,0.0,0.002,29.79
2018-01-01 17:45:00,0.002,0.0,0.0,0.0,0.0,0.002,29.79
2018-01-01 18:00:00,0.004,0.0,0.0,0.0,0.0,0.004,28.95
2018-01-01 18:15:00,0.003,0.0,0.0,0.0,0.0,0.003,28.95
2018-01-01 18:30:00,0.003,0.0,0.0,0.0,0.0,0.003,28.95
2018-01-01 18:45:00,0.002,0.0,0.0,0.0,0.0,0.002,28.95
2018-01-01 19:00:00,0.002,0.0,0.0,0.0,0.0,0.002,28.51
2018-01-01 19:15:00,0.001,0.0,0.0,0.0,0.0,0.001,28.51
2018-01-01 19:30:00,0.001,0.0,0.0,0.0,0.0,0.001,28.51
2018-01-01 19:45:00,0.001,0.0,0.0,0.0,0.0,0.001,28.51
2018-01-01 20:00:00,0.002,0.0,0.0,0.0,0.0,0.002,28.37
2018-01-01 20:15:00,0.002,0.0,0.0,0.0,0.0,0.002,28.37
2018-01-01 20:30:00,0.001,0.0,0.0,0.0,0.0,0.001,28.37
2018-01-01 20:45:00,0.002,0.0,0.0,0.0,0.0,0.002,28.37
2018-01-01 21:00:00,0.001,0.0,0.0,0.0,0.0,0.001,28.25
2018-01-01 21:15:00,0.001,0.0,0.0,0.0,0.0,0.001,28.25
2018-01-01 21:30:00,0.001,0.0,0.0,0.0,0.0,0.001,28.25
2018-01-01 21:45:00,0.001,0.0,0.0,0.0,0.0,0.001,28.25
2018-01-01 22:00:00,0.001,0.0,0.0,0.0,0.0,0.001,28.18
2018-01-01 22:15:00,0.002,0.0,0.0,0.0,0.0,0.002,28.18
2018-01-01 22:30:00,0.003,0.0,0.0,0.0,0.0,0.003,28.18
2018-01-01 22:45:00,0.002,0.0,0.0,0.0,0.0,0.002,28.18
2018-01-01 23:00:00,0.001,0.0,0.0,0.0,0.0,0.001,28.09
2018-01-01 23:15:00,0.001,0.0,0.0,0.0,0.0,0.001,28.09
2018-01-01 23:30:00,0.001,0.0,0.0,0.0,0.0,0.001,28.09
2018-01-01 23:45:00,0.002,0.0,0.0,0.0,0.0,0.002,28.09
2018-01-02 00:00:00,0.003,0.0,0.0,0.0,0.0,0.003,28.11
2018-01-02 00:15:00,0.003,0.0,0.0,0.0,0.0,0.003,28.11
2018-01-02 00:30:00,0.002,0.0,0.0,0.0,0.0,0.002,28.11
2018-01-02 00:45:00,0.002,0.0,0.0,0.0,0.0,0.002,28.11
2018-01-02 01:00:00,0.003,0.0,0.0,0.0,0.0,0.003,27.9
2018-01-02 01:15:00,0.004,0.0,0.0,0.0,0.0,0.004,27.9
2018-01-02 01:30:00,0.003,0.0,0.0,0.0,0.0,0.003,27.9
2018-01-02 01:45:00,0.003,0.0,0.0,0.0,0.0,0.003,27.9
2018-01-02 02:00:00,0.003,0.0,0.0,0.0,0.0,0.003,27.85
2018-01-02 02:15:00,0.002,0.0,0.0,0.0,0.0,0.002,27.85
2018-01-02 02:30:00,0.002,0.0,0.0,0.0,0.0,0.002,27.85
2018-01-02 02:45:00,0.002,0.0,0.0,0.0,0.0,0.002,27.85
2018-01-02 03:00:00,0.002,0.0,0.0,0.0,0.0,0.002,27.79
2018-01-02 03:15:00,0.002,0.0,0.0,0.0,0.0,0.002,27.79
2018-01-02 03:30:00,0.002,0.0,0.0,0.0,0.0,0.002,27.79
2018-01-02 03:45:00,0.002,0.0,0.0,0.0,0.0,0.002,27.79
2018-01-02 04:00:00,0.002,0.0,0.0,0.0,0.0,0.002,27.68
2018-01-02 04:15:00,0.001,0.0,0.0,0.0,0.0,0.001,27.68
2018-01-02 04:30:00,0.001,0.0,0.0,0.0,0.0,0.001,27.68
2018-01-02 04:45:00,0.001,0.0,0.0,0.0,0.0,0.001,27.68
2018-01-02 05:00:00,0.001,0.0,0.0,0.0,0.0,0.001,27.45
2018-01-02 05:15:00,0.001,0.0,0.0,0.0,0.0,0.001,27.45
2018-01-02 05:30:00,0.001,0.0,0.0,0.0,0.0,0.001,27.45
2018-01-02 05:45:00,0.001,0.0,0.0,0.0,0.0,0.001,27.45
