Time,air1,clotheswasher1,dishwasher1,furnace1,refrigerator1,Sum of Power
2018-01-01 13:00:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 13:15:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 13:30:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 13:45:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 14:00:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 14:15:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 14:30:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 14:45:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 15:00:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 15:15:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 15:30:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 15:45:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 16:00:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 16:15:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 16:30:00-06,0.003,0.0,0.0,0.0,0.0,0.003
2018-01-01 16:45:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 17:00:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 17:15:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 17:30:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 17:45:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 18:00:00-06,0.003,0.0,0.0,0.0,0.0,0.003
2018-01-01 18:15:00-06,0.003,0.0,0.0,0.0,0.0,0.003
2018-01-01 18:30:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 18:45:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 19:00:00-06,0.003,0.0,0.0,0.0,0.0,0.003
2018-01-01 19:15:00-06,0.004,0.0,0.0,0.0,0.0,0.004
2018-01-01 19:30:00-06,0.003,0.0,0.0,0.0,0.0,0.003
2018-01-01 19:45:00-06,0.003,0.0,0.0,0.0,0.0,0.003
2018-01-01 20:00:00-06,0.003,0.0,0.0,0.0,0.0,0.003
2018-01-01 20:15:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 20:30:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 20:45:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 21:00:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 21:15:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 21:30:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 21:45:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 22:00:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 22:15:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 22:30:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 22:45:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 23:00:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 23:15:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 23:30:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 23:45:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-06 16:45:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 04:45:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 05:00:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 05:15:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 05:30:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 05:45:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 06:00:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 06:15:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 06:30:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 06:45:00-06,0.002,0.0,0.0,0.0,0.0,0.002
2018-01-01 07:00:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 07:15:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 07:30:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 07:45:00-06,0.001,0.0,0.0,0.0,0.0,0.001
2018-01-01 08:00:00-06,0.001,0.0,0.0,0.0,0.0,0.001
