Time,air1,clotheswasher1,dishwasher1,furnace1,refrigerator1,solar,grid,Sum of Power,temperature,summary
2018-01-01 00:00:00,0.001,0.0,0.0,0.0,0.0,0.005,0.431,0.001,25.82,Overcast
2018-01-01 00:15:00,0.001,0.0,0.0,0.0,0.0,0.005,0.605,0.001,25.82,Overcast
2018-01-01 00:30:00,0.001,0.0,0.0,0.0,0.0,0.003,0.884,0.001,25.82,Overcast
2018-01-01 00:45:00,0.001,0.0,0.0,0.0,0.0,0.005,0.441,0.001,25.82,Overcast
2018-01-01 01:00:00,0.001,0.0,0.0,0.0,0.0,0.004,0.39899999999999997,0.001,25.25,Mostly Cloudy
2018-01-01 01:15:00,0.001,0.0,0.0,0.0,0.0,0.004,0.38,0.001,25.25,Mostly Cloudy
2018-01-01 01:30:00,0.001,0.0,0.0,0.0,0.0,0.005,0.496,0.001,25.25,Mostly Cloudy
2018-01-01 01:45:00,0.001,0.0,0.0,0.0,0.0,0.005,0.493,0.001,25.25,Mostly Cloudy
2018-01-01 02:00:00,0.001,0.0,0.0,0.0,0.0,0.004,0.377,0.001,25.0,Mostly Cloudy
2018-01-01 02:15:00,0.001,0.0,0.0,0.0,0.0,0.004,0.375,0.001,25.0,Mostly Cloudy
2018-01-01 02:30:00,0.002,0.0,0.0,0.0,0.0,0.005,0.5870000000000001,0.002,25.0,Mostly Cloudy
2018-01-01 02:45:00,0.001,0.0,0.0,0.0,0.0,0.004,0.593,0.001,25.0,Mostly Cloudy
2018-01-01 03:00:00,0.001,0.0,0.0,0.0,0.0,0.004,0.5710000000000001,0.001,24.97,Mostly Cloudy
2018-01-01 03:15:00,0.001,0.0,0.0,0.0,0.0,0.004,0.491,0.001,24.97,Mostly Cloudy
2018-01-01 03:30:00,0.001,0.0,0.0,0.0,0.0,0.004,0.5489999999999999,0.001,24.97,Mostly Cloudy
2018-01-01 03:45:00,0.001,0.0,0.0,0.0,0.0,0.004,0.496,0.001,24.97,Mostly Cloudy
2018-01-01 04:00:00,0.001,0.0,0.0,0.0,0.0,0.004,0.5539999999999999,0.001,24.93,Overcast
2018-01-01 04:15:00,0.001,0.0,0.0,0.0,0.0,0.005,0.46,0.001,24.93,Overcast
2018-01-01 04:30:00,0.001,0.0,0.0,0.0,0.0,0.005,0.332,0.001,24.93,Overcast
2018-01-01 04:45:00,0.001,0.0,0.0,0.0,0.0,0.005,0.34600000000000003,0.001,24.93,Overcast
2018-01-01 05:00:00,0.001,0.0,0.0,0.0,0.0,0.005,0.325,0.001,24.84,Overcast
2018-01-01 05:15:00,0.001,0.0,0.0,0.0,0.0,0.005,0.431,0.001,24.84,Overcast
2018-01-01 05:30:00,0.001,0.0,0.0,0.0,0.0,0.005,0.461,0.001,24.84,Overcast
2018-01-01 05:45:00,0.002,0.0,0.0,0.0,0.0,0.005,0.6759999999999999,0.002,24.84,Overcast
2018-01-01 06:00:00,0.002,0.0,0.0,0.0,0.0,0.004,1.005,0.002,24.69,Overcast
2018-01-01 06:15:00,0.001,0.0,0.0,0.0,0.0,0.003,0.807,0.001,24.69,Overcast
2018-01-01 06:30:00,0.002,0.0,0.0,0.0,0.0,0.003,0.987,0.002,24.69,Overcast
2018-01-01 06:45:00,0.002,0.0,0.0,0.0,0.0,0.002,0.953,0.002,24.69,Overcast
2018-01-01 07:00:00,0.001,0.0,0.0,0.0,0.0,0.004,0.49200000000000005,0.001,24.41,Mostly Cloudy
2018-01-01 07:15:00,0.001,0.0,0.0,0.0,0.0,0.002,0.8390000000000001,0.001,24.41,Mostly Cloudy
2018-01-01 07:30:00,0.001,0.0,0.0,0.0,0.0,0.005,0.816,0.001,24.41,Mostly Cloudy
2018-01-01 07:45:00,0.001,0.0,0.0,0.0,0.0,-0.01,0.82,0.001,24.41,Mostly Cloudy
2018-01-01 08:00:00,0.001,0.0,0.0,0.0,0.0,-0.10099999999999999,0.7440000000000001,0.001,23.83,Mostly Cloudy
2018-01-01 08:15:00,0.001,0.0,0.0,0.0,0.0,-0.154,0.39399999999999996,0.001,23.83,Mostly Cloudy
2018-01-01 08:30:00,0.001,0.0,0.0,0.0,0.0,-0.408,-0.126,0.001,23.83,Mostly Cloudy
2018-01-01 08:45:00,0.001,0.0,0.0,0.0,0.0,-0.5710000000000001,-0.342,0.001,23.83,Mostly Cloudy
2018-01-01 09:00:00,0.002,0.0,0.0,0.0,0.0,-1.071,1.3330000000000002,0.002,23.94,Mostly Cloudy
2018-01-01 09:15:00,0.002,0.0,0.0,0.0,0.0,-0.919,0.504,0.002,23.94,Mostly Cloudy
2018-01-01 09:30:00,0.002,0.0,0.0,0.0,0.0,-1.2009999999999998,0.39299999999999996,0.002,23.94,Mostly Cloudy
2018-01-01 09:45:00,0.001,0.0,0.0,0.0,0.0,-1.287,-0.909,0.001,23.94,Mostly Cloudy
2018-01-01 10:00:00,0.002,0.0,0.0,0.0,0.0,-1.129,-0.695,0.002,24.68,Mostly Cloudy
2018-01-01 10:15:00,0.002,0.0,0.0,0.0,0.0,-1.29,-0.9009999999999999,0.002,24.68,Mostly Cloudy
2018-01-01 10:30:00,0.002,0.0,0.0,0.0,0.0,-1.429,-0.993,0.002,24.68,Mostly Cloudy
2018-01-01 10:45:00,0.002,0.0,0.0,0.0,0.0,-1.72,-1.3,0.002,24.68,Mostly Cloudy
2018-01-01 11:00:00,0.002,0.0,0.0,0.0,0.0,-1.893,0.866,0.002,25.26,Mostly Cloudy
2018-01-01 11:15:00,0.003,0.0,0.0,0.0,0.0,-1.66,3.6510000000000002,0.003,25.26,Mostly Cloudy
2018-01-01 11:30:00,0.002,0.0,0.0,0.0,0.0,-1.7990000000000002,1.339,0.002,25.26,Mostly Cloudy
2018-01-01 11:45:00,0.002,0.0,0.0,0.0,0.0,-1.7069999999999999,-0.539,0.002,25.26,Mostly Cloudy
2018-01-01 12:00:00,0.004,0.0,0.0,0.0,0.0,-1.75,0.9159999999999999,0.004,26.86,Mostly Cloudy
2018-01-01 12:15:00,0.003,0.0,0.0,0.0,0.0,-1.767,0.14300000000000002,0.003,26.86,Mostly Cloudy
2018-01-01 12:30:00,0.003,0.0,0.0,0.0,0.0,-1.6740000000000002,0.38,0.003,26.86,Mostly Cloudy
2018-01-01 12:45:00,0.002,0.0,0.0,0.0,0.0,-1.369,-0.409,0.002,26.86,Mostly Cloudy
2018-01-01 13:00:00,0.002,0.0,0.0,0.0,0.0,-1.0979999999999999,-0.486,0.002,28.19,Mostly Cloudy
2018-01-01 13:15:00,0.001,0.0,0.0,0.0,0.0,-1.1840000000000002,-0.862,0.001,28.19,Mostly Cloudy
2018-01-01 13:30:00,0.001,0.0,0.0,0.0,0.0,-1.156,-0.838,0.001,28.19,Mostly Cloudy
2018-01-01 13:45:00,0.001,0.0,0.0,0.0,0.0,-1.0759999999999998,-0.769,0.001,28.19,Mostly Cloudy
2018-01-01 14:00:00,0.002,0.0,0.0,0.0,0.0,-1.123,-0.57,0.002,29.01,Overcast
2018-01-01 14:15:00,0.002,0.0,0.0,0.0,0.0,-0.978,-0.179,0.002,29.01,Overcast
2018-01-01 14:30:00,0.001,0.0,0.0,0.0,0.0,-0.8740000000000001,-0.535,0.001,29.01,Overcast
2018-01-01 14:45:00,0.002,0.0,0.0,0.0,0.0,-1.077,-0.65,0.002,29.01,Overcast
2018-01-01 15:00:00,0.001,0.0,0.0,0.0,0.0,-0.769,-0.35200000000000004,0.001,29.35,Mostly Cloudy
2018-01-01 15:15:00,0.001,0.0,0.0,0.0,0.0,-0.45899999999999996,-0.047,0.001,29.35,Mostly Cloudy
2018-01-01 15:30:00,0.001,0.0,0.0,0.0,0.0,-0.551,-0.127,0.001,29.35,Mostly Cloudy
2018-01-01 15:45:00,0.001,0.0,0.0,0.0,0.0,-0.46799999999999997,-0.025,0.001,29.35,Mostly Cloudy
2018-01-01 16:00:00,0.001,0.0,0.0,0.0,0.0,-0.483,-0.099,0.001,29.93,Overcast
2018-01-01 16:15:00,0.002,0.0,0.0,0.0,0.0,-0.426,3.658,0.002,29.93,Overcast
2018-01-01 16:30:00,0.003,0.0,0.0,0.0,0.0,-0.561,4.704,0.003,29.93,Overcast
2018-01-01 16:45:00,0.002,0.0,0.0,0.0,0.0,-0.126,3.182,0.002,29.93,Overcast
2018-01-01 17:00:00,0.001,0.0,0.0,0.0,0.0,-0.033,0.509,0.001,29.79,Overcast
2018-01-01 17:15:00,0.001,0.0,0.0,0.0,0.0,0.009000000000000001,0.521,0.001,29.79,Overcast
2018-01-01 17:30:00,0.001,0.0,0.0,0.0,0.0,0.025,0.8420000000000001,0.001,29.79,Overcast
2018-01-01 17:45:00,0.002,0.0,0.0,0.0,0.0,0.027999999999999997,1.089,0.002,29.79,Overcast
2018-01-01 18:00:00,0.003,0.0,0.0,0.0,0.0,0.013000000000000001,2.1719999999999997,0.003,28.95,Overcast
2018-01-01 18:15:00,0.003,0.0,0.0,0.0,0.0,0.005,1.6219999999999999,0.003,28.95,Overcast
2018-01-01 18:30:00,0.002,0.0,0.0,0.0,0.0,0.002,1.3840000000000001,0.002,28.95,Overcast
2018-01-01 18:45:00,0.002,0.0,0.0,0.0,0.0,0.002,1.473,0.002,28.95,Overcast
2018-01-01 19:00:00,0.003,0.0,0.0,0.0,0.0,0.004,2.184,0.003,28.51,Overcast
2018-01-01 19:15:00,0.004,0.0,0.0,0.0,0.0,0.004,2.419,0.004,28.51,Overcast
