Time,air1,clotheswasher1,dishwasher1,furnace1,refrigerator1,solar,grid,Sum of Power,temperature
1/1/2018 13:00,0.002,0,0,0,0,-1.098,-0.486,-1.096,28.19
1/1/2018 13:15,0.001,0,0,0,0,-1.184,-0.862,-1.183,28.19
1/1/2018 13:30,0.001,0,0,0,0,-1.156,-0.838,-1.155,28.19
1/1/2018 13:45,0.001,0,0,0,0,-1.076,-0.769,-1.075,28.19
1/1/2018 14:00,0.002,0,0,0,0,-1.123,-0.57,-1.121,29.01
1/1/2018 14:15,0.002,0,0,0,0,-0.978,-0.179,-0.976,29.01
1/1/2018 14:30,0.001,0,0,0,0,-0.874,-0.535,-0.873,29.01
1/1/2018 14:45,0.002,0,0,0,0,-1.077,-0.65,-1.075,29.01
1/1/2018 15:00,0.001,0,0,0,0,-0.769,-0.352,-0.768,29.35
1/1/2018 15:15,0.001,0,0,0,0,-0.459,-0.047,-0.458,29.35
1/1/2018 15:30,0.001,0,0,0,0,-0.551,-0.127,-0.55,29.35
1/1/2018 15:45,0.001,0,0,0,0,-0.468,-0.025,-0.467,29.35
1/1/2018 16:00,0.001,0,0,0,0,-0.483,-0.099,-0.482,29.93
1/1/2018 16:15,0.002,0,0,0,0,-0.426,3.658,-0.424,29.93
1/1/2018 16:30,0.003,0,0,0,0,-0.561,4.704,-0.558,29.93
1/1/2018 16:45,0.002,0,0,0,0,-0.126,3.182,-0.124,29.93
1/1/2018 17:00,0.001,0,0,0,0,-0.033,0.509,-0.032,29.79
1/1/2018 17:15,0.001,0,0,0,0,0.009,0.521,0.01,29.79
1/1/2018 17:30,0.001,0,0,0,0,0.025,0.842,0.026,29.79
1/1/2018 17:45,0.002,0,0,0,0,0.028,1.089,0.03,29.79
1/1/2018 18:00,0.003,0,0,0,0,0.013,2.172,0.016,28.95
1/1/2018 18:15,0.003,0,0,0,0,0.005,1.622,0.008,28.95
1/1/2018 18:30,0.002,0,0,0,0,0.002,1.384,0.004,28.95
1/1/2018 18:45,0.002,0,0,0,0,0.002,1.473,0.004,28.95
1/1/2018 19:00,0.003,0,0,0,0,0.004,2.184,0.007,28.51
1/1/2018 19:15,0.004,0,0,0,0,0.004,2.419,0.008,28.51
1/1/2018 19:30,0.003,0,0,0,0,0.003,2.395,0.006,28.51
1/1/2018 19:45,0.003,0,0,0,0,0.003,2.128,0.006,28.51
1/1/2018 20:00,0.003,0,0,0,0,0.004,1.743,0.007,28.37
1/1/2018 20:15,0.002,0,0,0,0,0.002,2.545,0.004,28.37
1/1/2018 20:30,0.002,0,0,0,0,0.003,1.111,0.005,28.37
1/1/2018 20:45,0.002,0,0,0,0,0.003,1.181,0.005,28.37
1/1/2018 21:00,0.002,0,0,0,0,0.003,1.2,0.005,28.25
1/1/2018 21:15,0.002,0,0,0,0,0.002,1.201,0.004,28.25
1/1/2018 21:30,0.002,0,0,0,0,0.002,1.087,0.004,28.25
1/1/2018 21:45,0.002,0,0,0,0,0.002,0.925,0.004,28.25
1/1/2018 22:00,0.002,0,0,0,0,0.002,0.926,0.004,28.18
1/1/2018 22:15,0.001,0,0,0,0,0.003,0.626,0.004,28.18
1/1/2018 22:30,0.001,0,0,0,0,0.005,0.57,0.006,28.18
1/1/2018 22:45,0.001,0,0,0,0,0.005,0.406,0.006,28.18
1/1/2018 23:00,0.001,0,0,0,0,0.005,0.459,0.006,28.09
1/1/2018 23:15,0.001,0,0,0,0,0.005,0.431,0.006,28.09
1/1/2018 23:30,0.001,0,0,0,0,0.005,0.556,0.006,28.09
1/1/2018 23:45,0.001,0,0,0,0,0.005,0.423,0.006,28.09
1/2/2018 0:00,0.001,0,0,0,0,0.005,0.617,0.006,28.11
1/2/2018 0:15,0.001,0,0,0,0,0.005,0.591,0.006,28.11
1/2/2018 0:30,0.001,0,0,0,0,0.005,0.465,0.006,28.11
1/2/2018 0:45,0.001,0,0,0,0,0.005,0.41,0.006,28.11
1/2/2018 1:00,0.001,0,0,0,0,0.005,0.412,0.006,27.9
1/2/2018 1:15,0.001,0,0,0,0,0.005,0.401,0.006,27.9
1/2/2018 1:30,0.001,0,0,0,0,0.004,0.503,0.005,27.9
1/2/2018 1:45,0.001,0,0,0,0,0.005,0.543,0.006,27.9
1/2/2018 2:00,0.001,0,0,0,0,0.005,0.549,0.006,27.85
1/2/2018 2:15,0.001,0,0,0,0,0.005,0.453,0.006,27.85
1/2/2018 2:30,0.001,0,0,0,0,0.005,0.313,0.006,27.85
1/2/2018 2:45,0.001,0,0,0,0,0.005,0.498,0.006,27.85
1/2/2018 3:00,0.001,0,0,0,0,0.005,0.521,0.006,27.79
1/2/2018 3:15,0.002,0,0,0,0,0.004,0.56,0.006,27.79
1/2/2018 3:30,0.002,0,0,0,0,0.004,0.692,0.006,27.79
1/2/2018 3:45,0.001,0,0,0,0,0.005,0.56,0.006,27.79
1/2/2018 4:00,0.001,0,0,0,0,0.004,0.599,0.005,27.68
1/2/2018 4:15,0.001,0,0,0,0,0.004,0.626,0.005,27.68
1/2/2018 4:30,0.001,0,0,0,0,0.004,0.647,0.005,27.68
1/2/2018 4:45,0.001,0,0,0,0,0.005,0.618,0.006,27.68
1/2/2018 5:00,0.002,0,0,0,0,0.005,0.683,0.007,27.45
1/2/2018 5:15,0.002,0,0,0,0,0.006,0.735,0.008,27.45
1/2/2018 5:30,0.002,0,0,0,0,0.005,0.797,0.007,27.45
1/2/2018 5:45,0.001,0,0,0,0,0.005,0.443,0.006,27.45
1/2/2018 6:00,0.001,0,0,0,0,0.004,0.585,0.005,27.27
1/2/2018 6:15,0.001,0,0,0,0,0.002,0.838,0.003,27.27
1/2/2018 6:30,0.001,0,0,0,0,0.005,0.48,0.006,27.27
1/2/2018 6:45,0.002,0,0,0,0,0.002,1.245,0.004,27.27
1/2/2018 7:00,0.002,0,0,0,0,0.002,0.916,0.004,27.15
1/2/2018 7:15,0.002,0,0,0,0,0.002,0.937,0.004,27.15
1/2/2018 7:30,0.002,0,0,0,0,0.002,0.88,0.004,27.15
1/2/2018 7:45,0.001,0,0,0,0,-0.027,0.727,-0.026,27.15
1/2/2018 8:00,0.002,0,0,0,0,-0.078,0.985,-0.076,27.22
1/2/2018 8:15,0.002,0,0,0,0,-0.057,0.95,-0.055,27.22
1/2/2018 8:30,0.002,0,0,0,0,-0.099,0.915,-0.097,27.22
1/2/2018 8:45,0.002,0,0,0,0,-0.166,0.858,-0.164,27.22
1/2/2018 9:00,0.002,0,0,0,0,-0.237,0.81,-0.235,27.52
1/2/2018 9:15,0.001,0,0,0,0,-0.342,0.065,-0.341,27.52
1/2/2018 9:30,0.001,0,0,0,0,-0.5,0.028,-0.499,27.52
1/2/2018 9:45,0.001,0,0,0,0,-0.615,-0.178,-0.614,27.52
1/2/2018 10:00,0.001,0,0,0,0,-0.666,-0.292,-0.665,28.33
1/2/2018 10:15,0.001,0,0,0,0,-0.709,-0.394,-0.708,28.33
1/2/2018 10:30,0.001,0,0,0,0,-0.665,-0.25,-0.664,28.33
1/2/2018 10:45,0.002,0,0,0,0,-0.716,-0.234,-0.714,28.33
1/2/2018 11:00,0.002,0,0,0,0,-0.796,-0.133,-0.794,29.23
1/2/2018 11:15,0.002,0,0,0,0,-0.855,-0.133,-0.853,29.23
1/2/2018 11:30,0.002,0,0,0,0,-0.855,-0.25,-0.853,29.23
1/2/2018 11:45,0.002,0,0,0,0,-0.933,-0.373,-0.931,29.23
1/2/2018 12:00,0.002,0,0,0,0,-0.898,-0.147,-0.896,30.09
1/2/2018 12:15,0.002,0,0,0,0,-0.997,-0.123,-0.995,30.09
1/2/2018 12:30,0.003,0,0,0,0,-0.909,1.187,-0.906,30.09
1/2/2018 12:45,0.002,0,0,0,0,-0.786,-0.068,-0.784,30.09
1/2/2018 13:00,0.002,0,0,0,0,-0.758,0.078,-0.756,30.44
1/2/2018 13:15,0.002,0,0,0,0,-0.748,0.424,-0.746,30.44
1/2/2018 13:30,0.003,0,0,0,0,-0.737,0.556,-0.734,30.44
1/2/2018 13:45,0.002,0,0,0,0,-0.639,0.653,-0.637,30.44
1/2/2018 14:00,0.002,0,0,0,0,-0.567,0.32,-0.565,30.51
1/2/2018 14:15,0.001,0,0,0,0,-0.557,0.024,-0.556,30.51
1/2/2018 14:30,0.002,0,0,0,0,-0.431,0.341,-0.429,30.51
1/2/2018 14:45,0.002,0,0,0,0,-0.348,0.625,-0.346,30.51
1/2/2018 15:00,0.002,0,0,0,0,-0.311,0.754,-0.309,30.06
1/2/2018 15:15,0.002,0,0,0,0,-0.27,0.579,-0.268,30.06
1/2/2018 15:30,0.002,0,0,0,0,-0.178,1.071,-0.176,30.06
1/2/2018 15:45,0.002,0,0,0,0,-0.121,0.635,-0.119,30.06
1/2/2018 16:00,0.002,0,0,0,0,-0.074,0.802,-0.072,29
1/2/2018 16:15,0.001,0,0,0,0,-0.095,0.454,-0.094,29
1/2/2018 16:30,0.001,0,0,0,0,0.011,0.769,0.012,29
1/2/2018 16:45,0.002,0,0,0,0,0.024,1.08,0.026,29
1/2/2018 17:00,0.002,0,0,0,0,0.026,1.169,0.028,28.13
1/2/2018 17:15,0.002,0,0,0,0,0.027,1.072,0.029,28.13
1/2/2018 17:30,0.001,0,0,0,0,0.027,0.647,0.028,28.13
1/2/2018 17:45,0.001,0,0,0,0,0.025,0.674,0.026,28.13
1/2/2018 18:00,0.001,0,0,0,0,0.002,0.849,0.003,27.9
1/2/2018 18:15,0.002,0,0,0,0,0.002,0.985,0.004,27.9
1/2/2018 18:30,0.001,0,0,0,0,0.002,0.884,0.003,27.9
